state,aor_2015_pct,aor_2016_pct,difference
KUALA LUMPUR,67.1,66.1,-1.0
PUTRAJAYA,65.7,70.6,4.9
SELANGOR,64.7,62.4,-2.3
PENANG,63.7,63.9,0.2
PERAK,51.3,49.0,-2.3
KEDAH,54.9,59.5,4.6
PERLIS,44.4,36.5,-7.9
N.SEMBILAN,47.9,52.8,4.9
MELAKA,63.3,59.9,-3.4
JOHOR,58.5,61.0,2.5
PAHANG,79.3,74.6,-4.7
TERENGGANU,48.7,45.0,-3.7
KELANTAN,40.9,43.8,2.9
SABAH,64.2,64.5,0.3
LABUAN F.T,66.2,55.3,-10.9
SARAWAK,57.9,53.4,-4.5
TOTAL,61.9,60.9,-1.0
