model_type,variable,coefficient,std_error,t_statistic,p_value,significance,interpretation
"PPML Panel (Primary, 2018–2025)",Distance Decay Friction (PPML),-0.4328,0.0474,-9.1339,0.0,p < 0.001,"Under PPML (zero-flow robust), a 10% increase in corridor distance reduces tourist flow by 4.3%."
"Log-OLS Panel (Comparison, 2018–2025)",Distance Decay Friction (Log-OLS),-0.6037,0.0521,-11.5988,0.0,p < 0.001,"Under Log-OLS, a 10% distance increase reduces flow by 6.0%."
"PPML Panel (Primary, 2018–2025)",Origin Adult Population 15+ (PPML),0.8108,0.0271,29.9049,0.0,p < 0.001,A 10% expansion in origin adult population expands tourist generation by 8.1%.
"PPML Panel (Primary, 2018–2025)",Cross-Region Flight Barrier (Peninsula <-> Borneo),-0.8574,0.1191,-7.1983,0.0,p < 0.001,Corridors crossing Peninsula and Borneo face an extra 57.6% flow penalty.
Pre-COVID (2018–2019),Distance Decay Friction (Pre-COVID),-0.6229,0.1206,-5.164,0.0,p < 0.001,Pre-COVID baseline distance friction.
Post-Recovery (2023–2025),Distance Decay Friction (Post-Recovery),-0.5936,0.0668,-8.8906,0.0,p < 0.001,Post-recovery distance decay friction (shows persistent preference for proximate intra-peninsular travel).
