STATE,DOMESTIC 2020,DOMESTIC 2019,DOMESTIC %CHANGE 2020/2019,FOREIGNER 2020,FOREIGNER 2019,FOREIGNER %CHANGE 2020/2019,TOTAL 2020,TOTAL 2019,TOTAL %CHANGE 2020/2019
KUALA LUMPUR,4514383,7397154,-38.97,1584088,10931619,-85.51,6098471,18328773,-66.73
PUTRAJAYA,173400,306920,-43.50,20874,178498,-88.31,194274,485418,-59.98
SELANGOR,1653005,3548963,-53.42,322618,1866153,-82.71,1975623,5415116,-63.52
NEGERI SEMBILAN,980525,1926835,-49.16,66437,459539,-85.54,1046962,2386374,-56.16
MELAKA,1262949,3252525,-61.17,180422,1465372,-87.69,1443371,4717897,-69.41
JOHOR,3472179,5020019,-30.83,418237,2548685,-83.59,3890416,7568704,-48.60
PAHANG,6784431,8877064,-23.57,517572,2754449,-81.21,7302003,11631513,-37.22
TERENGGANU,1325099,1738426,-23.78,19796,179324,-88.96,1344895,1917750,-29.87
KELANTAN,556340,1050577,-47.04,4520,49211,-90.82,560860,1099798,-49.00
PERLIS,126013,179724,-29.89,1113,5700,-80.47,127126,185424,-31.44
KEDAH,2118912,2663052,-20.43,375582,1583215,-76.28,2494494,4246267,-41.25
PULAU PINANG,2336054,3542246,-34.03,526295,2848750,-81.53,2862349,6389996,-55.21
PERAK,1128553,2623351,-56.98,55135,293256,-81.20,1183688,2916607,-59.42
PENINSULAR MALAYSIA,26431843,42127836,-37.26,4092689,25163771,-83.74,30524532,67291607,-54.64
SABAH,1311390,4228391,-68.99,486344,3057376,-84.09,1797734,7285767,-75.33
LABUAN,251661,430038,-41.48,21737,75447,-71.19,273398,505485,-45.91
SARAWAK,2709100,4306725,-37.10,100257,539599,-81.42,2809357,4846324,-42.03
TOTAL,30703994,51093010,-39.91,4701027,28836193,-83.70,35405021,79929203,-55.70
