year,state,state_code,region,vfr_share_visitor,vfr_share_tourist,holiday_share_visitor,holiday_share_tourist,shopping_share_visitor,shopping_share_tourist,entertainment_share_visitor,entertainment_share_tourist,business_share_visitor,business_share_tourist,medical_share_visitor,medical_share_tourist,religious_share_visitor,religious_share_tourist,incentive_others_share_visitor,incentive_others_share_tourist
2020,Perak,MY-08,Northern,37.63,67.85,17.33,24.91,36.0,3.3,1.45,0.83,0.98,0.22,4.68,1.31,0.61,0.0,1.32,1.58
2020,Perlis,MY-09,Northern,37.92,72.08,17.06,26.99,40.66,0.0,0.24,0.0,0.33,0.93,3.27,0.0,0.03,0.0,0.49,0.0
2020,Pulau Pinang,MY-07,Northern,25.75,51.92,22.17,44.01,46.87,0.32,1.71,0.0,1.0,1.45,1.85,1.56,0.28,0.0,0.37,0.74
2020,Sabah,MY-12,East Malaysia,25.82,48.71,17.55,39.19,43.71,0.82,3.28,0.84,2.46,4.92,3.29,0.55,0.6,0.0,3.29,4.97
2020,Sarawak,MY-13,East Malaysia,23.08,59.44,12.99,27.37,52.13,6.5,1.87,0.65,1.04,2.28,5.54,1.79,0.48,0.0,2.87,1.97
2020,Selangor,MY-10,Central,22.87,67.05,6.23,18.77,60.85,7.62,1.3,2.22,0.45,0.83,5.44,1.22,2.13,0.07,0.73,2.22
2020,Terengganu,MY-11,East Coast,51.31,76.86,15.42,19.69,25.72,0.63,1.28,0.0,0.65,1.07,4.65,0.7,0.35,0.0,0.62,1.05
2020,W.P. Kuala Lumpur,MY-14,Central,14.42,37.92,13.32,36.07,63.16,16.92,3.36,1.52,1.15,1.67,2.87,3.94,0.02,0.0,1.7,1.96
2020,W.P. Labuan,MY-15,East Malaysia,31.9,43.96,29.14,39.35,21.19,0.0,2.65,0.0,5.36,7.63,3.39,0.0,0.0,0.0,6.37,9.06
2020,W.P. Putrajaya,MY-16,Central,21.08,21.25,32.14,45.38,20.78,0.0,4.34,0.0,13.07,20.34,1.2,1.9,0.0,0.0,7.39,11.13
2021,Johor,MY-01,Southern,34.59,60.44,19.56,34.63,20.55,0.68,3.08,0.56,1.55,2.35,14.31,0.72,0.06,0.24,6.3,0.38
2021,Kedah,MY-02,Northern,54.42,52.51,15.61,22.25,10.15,8.55,7.56,1.21,0.92,1.43,8.93,1.48,0.12,0.12,2.29,12.45
2021,Kelantan,MY-03,East Coast,58.59,71.38,11.89,14.34,14.32,10.2,0.04,0.22,1.16,1.91,12.01,0.66,0.08,0.41,1.91,0.88
2021,Melaka,MY-04,Southern,20.68,52.49,20.51,31.72,41.68,8.01,5.15,0.53,0.77,1.24,4.13,3.5,0.12,0.36,6.96,2.15
