year,state,state_code,region,rank,district_name
2019,Sarawak,MY-13,East Malaysia,5,Serian
2020,Johor,MY-01,Southern,1,Johor Bahru
2020,Johor,MY-01,Southern,2,Kota Tinggi
2020,Johor,MY-01,Southern,3,Batu Pahat
2020,Johor,MY-01,Southern,4,Pontian
2020,Johor,MY-01,Southern,5,Mersing
2020,Pulau Pinang,MY-07,Northern,1,Timur Laut
2020,Pulau Pinang,MY-07,Northern,2,Barat Daya
2020,Pulau Pinang,MY-07,Northern,3,Seberang Perai Utara
2020,Pulau Pinang,MY-07,Northern,4,Seberang Perai Selatan
2020,Pulau Pinang,MY-07,Northern,5,Seberang Perai Tengah
2020,Kedah,MY-02,Northern,1,Kota Setar
2020,Kedah,MY-02,Northern,2,Langkawi
2020,Kedah,MY-02,Northern,3,Pokok Sena
2020,Kedah,MY-02,Northern,4,Pendang
2020,Kedah,MY-02,Northern,5,Kubang Pasu
2020,Perak,MY-08,Northern,1,Larut & Matang
2020,Perak,MY-08,Northern,2,Kinta
2020,Perak,MY-08,Northern,3,Manjung
2020,Perak,MY-08,Northern,4,Kuala Kangsar
2020,Perak,MY-08,Northern,5,Kerian
2020,Kelantan,MY-03,East Coast,1,Kota Bharu
2020,Kelantan,MY-03,East Coast,2,Pasir Mas
2020,Kelantan,MY-03,East Coast,3,Tanah Merah
2020,Kelantan,MY-03,East Coast,4,Gua Musang
2020,Kelantan,MY-03,East Coast,5,Pasir Puteh
2020,Selangor,MY-10,Central,1,Petaling
2020,Selangor,MY-10,Central,2,Klang
2020,Selangor,MY-10,Central,3,Hulu Langat
2020,Selangor,MY-10,Central,4,Gombak
2020,Selangor,MY-10,Central,5,Kuala Langat
2020,Melaka,MY-04,Southern,1,Melaka Tengah
2020,Melaka,MY-04,Southern,2,Alor Gajah
2020,Melaka,MY-04,Southern,3,Jasin
2020,Terengganu,MY-11,East Coast,1,Kuala Terengganu
2020,Terengganu,MY-11,East Coast,2,Kemaman
2020,Terengganu,MY-11,East Coast,3,Dungun
2020,Terengganu,MY-11,East Coast,4,Kuala Nerus
2020,Terengganu,MY-11,East Coast,5,Marang
2020,Negeri Sembilan,MY-05,Central,1,Seremban
2020,Negeri Sembilan,MY-05,Central,2,Port Dickson
2020,Negeri Sembilan,MY-05,Central,3,Tampin
2020,Negeri Sembilan,MY-05,Central,4,Jempol
2020,Negeri Sembilan,MY-05,Central,5,Kuala Pilah
2020,Sabah,MY-12,East Malaysia,1,Kota Kinabalu
2020,Sabah,MY-12,East Malaysia,2,Keningau
2020,Sabah,MY-12,East Malaysia,3,Tawau
2020,Sabah,MY-12,East Malaysia,4,Lahad Datu
2020,Sabah,MY-12,East Malaysia,5,Semporna
2020,Pahang,MY-06,East Coast,1,Kuantan
2020,Pahang,MY-06,East Coast,2,Cameron Highlands
2020,Pahang,MY-06,East Coast,3,Bentong
2020,Pahang,MY-06,East Coast,4,Rompin
2020,Pahang,MY-06,East Coast,5,Jerantut
2020,Sarawak,MY-13,East Malaysia,1,Kuching
2020,Sarawak,MY-13,East Malaysia,2,Sibu
2020,Sarawak,MY-13,East Malaysia,3,Bintulu
2020,Sarawak,MY-13,East Malaysia,4,Miri
2020,Sarawak,MY-13,East Malaysia,5,Serian
2021,Johor,MY-01,Southern,1,Johor Bahru
2021,Johor,MY-01,Southern,2,Kota Tinggi
2021,Johor,MY-01,Southern,3,Muar
2021,Johor,MY-01,Southern,4,Kluang
2021,Johor,MY-01,Southern,5,Batu Pahat
2021,Pulau Pinang,MY-07,Northern,1,Timur Laut
2021,Pulau Pinang,MY-07,Northern,2,Barat Daya
2021,Pulau Pinang,MY-07,Northern,3,Seberang Perai Tengah
2021,Pulau Pinang,MY-07,Northern,4,Seberang Perai Utara
2021,Pulau Pinang,MY-07,Northern,5,Seberang Perai Selatan
2021,Kedah,MY-02,Northern,1,Langkawi
2021,Kedah,MY-02,Northern,2,Kuala Muda
2021,Kedah,MY-02,Northern,3,Kulim
2021,Kedah,MY-02,Northern,4,Kota Setar
2021,Kedah,MY-02,Northern,5,Kubang Pasu
2021,Perak,MY-08,Northern,1,Larut & Matang
2021,Perak,MY-08,Northern,2,Kinta
2021,Perak,MY-08,Northern,3,Manjung
2021,Perak,MY-08,Northern,4,Hilir Perak
2021,Perak,MY-08,Northern,5,Kuala Kangsar
2021,Kelantan,MY-03,East Coast,1,Kota Bharu
2021,Kelantan,MY-03,East Coast,2,Bachok
2021,Kelantan,MY-03,East Coast,3,Pasir Mas
2021,Kelantan,MY-03,East Coast,4,Machang
2021,Kelantan,MY-03,East Coast,5,Gua Musang
2021,Selangor,MY-10,Central,1,Petaling
2021,Selangor,MY-10,Central,2,Hulu Langat
2021,Selangor,MY-10,Central,3,Klang
2021,Selangor,MY-10,Central,4,Gombak
2021,Selangor,MY-10,Central,5,Sepang
2021,Melaka,MY-04,Southern,1,Melaka Tengah
2021,Melaka,MY-04,Southern,2,Alor Gajah
2021,Melaka,MY-04,Southern,3,Jasin
2021,Terengganu,MY-11,East Coast,1,Kuala Terengganu
2021,Terengganu,MY-11,East Coast,2,Dungun
2021,Terengganu,MY-11,East Coast,3,Kemaman
2021,Terengganu,MY-11,East Coast,4,Besut
2021,Terengganu,MY-11,East Coast,5,Kuala Nerus
2021,Negeri Sembilan,MY-05,Central,1,Seremban
2021,Negeri Sembilan,MY-05,Central,2,Port Dickson
2021,Negeri Sembilan,MY-05,Central,3,Tampin
2021,Negeri Sembilan,MY-05,Central,4,Jempol
2021,Negeri Sembilan,MY-05,Central,5,Kuala Pilah
2021,Sabah,MY-12,East Malaysia,1,Kota Kinabalu
2021,Sabah,MY-12,East Malaysia,2,Tawau
2021,Sabah,MY-12,East Malaysia,3,Ranau
2021,Sabah,MY-12,East Malaysia,4,Semporna
2021,Sabah,MY-12,East Malaysia,5,Lahad Datu
2021,Pahang,MY-06,East Coast,1,Kuantan
2021,Pahang,MY-06,East Coast,2,Bentong
2021,Pahang,MY-06,East Coast,3,Cameron Highlands
2021,Pahang,MY-06,East Coast,4,Temerloh
2021,Pahang,MY-06,East Coast,5,Lipis
2021,Sarawak,MY-13,East Malaysia,1,Bintulu
2021,Sarawak,MY-13,East Malaysia,2,Sibu
2021,Sarawak,MY-13,East Malaysia,3,Kuching
2021,Sarawak,MY-13,East Malaysia,4,Miri
2021,Sarawak,MY-13,East Malaysia,5,Mukah
2022,Johor,MY-01,Southern,1,Johor Bahru
2022,Johor,MY-01,Southern,2,Batu Pahat
2022,Johor,MY-01,Southern,3,Kota Tinggi
2022,Johor,MY-01,Southern,4,Muar
2022,Johor,MY-01,Southern,5,Mersing
2022,Pulau Pinang,MY-07,Northern,1,Timur Laut
2022,Pulau Pinang,MY-07,Northern,2,Barat Daya
2022,Pulau Pinang,MY-07,Northern,3,Seberang Perai Tengah
2022,Pulau Pinang,MY-07,Northern,4,Seberang Perai Utara
2022,Pulau Pinang,MY-07,Northern,5,Seberang Perai Selatan
2022,Kedah,MY-02,Northern,1,Kota Setar
2022,Kedah,MY-02,Northern,2,Langkawi
2022,Kedah,MY-02,Northern,3,Baling
2022,Kedah,MY-02,Northern,4,Kuala Muda
2022,Kedah,MY-02,Northern,5,Kulim
2022,Perak,MY-08,Northern,1,Kinta
2022,Perak,MY-08,Northern,2,Larut & Matang
2022,Perak,MY-08,Northern,3,Manjung
2022,Perak,MY-08,Northern,4,Batang Padang
2022,Perak,MY-08,Northern,5,Hilir Perak
2022,Kelantan,MY-03,East Coast,1,Kota Bharu
2022,Kelantan,MY-03,East Coast,2,Bachok
2022,Kelantan,MY-03,East Coast,3,Pasir Mas
2022,Kelantan,MY-03,East Coast,4,Pasir Puteh
2022,Kelantan,MY-03,East Coast,5,Gua Musang
2022,Selangor,MY-10,Central,1,Petaling
2022,Selangor,MY-10,Central,2,Hulu Langat
2022,Selangor,MY-10,Central,3,Gombak
2022,Selangor,MY-10,Central,4,Klang
2022,Selangor,MY-10,Central,5,Sepang
2022,Melaka,MY-04,Southern,1,Melaka Tengah
2022,Melaka,MY-04,Southern,2,Alor Gajah
2022,Melaka,MY-04,Southern,3,Jasin
2022,Terengganu,MY-11,East Coast,1,Kuala Terengganu
2022,Terengganu,MY-11,East Coast,2,Kemaman
2022,Terengganu,MY-11,East Coast,3,Kuala Nerus
2022,Terengganu,MY-11,East Coast,4,Dungun
2022,Terengganu,MY-11,East Coast,5,Marang
2022,Negeri Sembilan,MY-05,Central,1,Seremban
2022,Negeri Sembilan,MY-05,Central,2,Port Dickson
2022,Negeri Sembilan,MY-05,Central,3,Jempol
2022,Negeri Sembilan,MY-05,Central,4,Kuala Pilah
2022,Negeri Sembilan,MY-05,Central,5,Tampin
2022,Sabah,MY-12,East Malaysia,1,Kota Kinabalu
2022,Sabah,MY-12,East Malaysia,2,Tawau
2022,Sabah,MY-12,East Malaysia,3,Ranau
2022,Sabah,MY-12,East Malaysia,4,Lahad Datu
2022,Sabah,MY-12,East Malaysia,5,Sandakan
2022,Pahang,MY-06,East Coast,1,Kuantan
2022,Pahang,MY-06,East Coast,2,Cameron Highlands
2022,Pahang,MY-06,East Coast,3,Bentong
2022,Pahang,MY-06,East Coast,4,Temerloh
2022,Pahang,MY-06,East Coast,5,Maran
2022,Sarawak,MY-13,East Malaysia,1,Kuching
2022,Sarawak,MY-13,East Malaysia,2,Sibu
2022,Sarawak,MY-13,East Malaysia,3,Miri
2022,Sarawak,MY-13,East Malaysia,4,Bintulu
2022,Sarawak,MY-13,East Malaysia,5,Sri Aman
2023,Johor,MY-01,Southern,1,Johor Bahru
2023,Johor,MY-01,Southern,2,Batu Pahat
2023,Johor,MY-01,Southern,3,Kota Tinggi
2023,Johor,MY-01,Southern,4,Muar
2023,Johor,MY-01,Southern,5,Mersing
2023,Pulau Pinang,MY-07,Northern,1,Timur Laut
2023,Pulau Pinang,MY-07,Northern,2,Barat Daya
2023,Pulau Pinang,MY-07,Northern,3,Seberang Perai Tengah
2023,Pulau Pinang,MY-07,Northern,4,Seberang Perai Utara
2023,Pulau Pinang,MY-07,Northern,5,Seberang Perai Selatan
2023,Kedah,MY-02,Northern,1,Kota Setar
2023,Kedah,MY-02,Northern,2,Langkawi
2023,Kedah,MY-02,Northern,3,Baling
2023,Kedah,MY-02,Northern,4,Kuala Muda
2023,Kedah,MY-02,Northern,5,Kulim
2023,Perak,MY-08,Northern,1,Kinta
2023,Perak,MY-08,Northern,2,Larut & Matang
2023,Perak,MY-08,Northern,3,Manjung
2023,Perak,MY-08,Northern,4,Batang Padang
2023,Perak,MY-08,Northern,5,Hilir Perak
2023,Kelantan,MY-03,East Coast,1,Kota Bharu
2023,Kelantan,MY-03,East Coast,2,Bachok
2023,Kelantan,MY-03,East Coast,3,Pasir Mas
2023,Kelantan,MY-03,East Coast,4,Machang
2023,Kelantan,MY-03,East Coast,5,Pasir Puteh
2023,Selangor,MY-10,Central,1,Petaling
2023,Selangor,MY-10,Central,2,Sepang
2023,Selangor,MY-10,Central,3,Hulu Langat
2023,Selangor,MY-10,Central,4,Gombak
2023,Selangor,MY-10,Central,5,Sabak Bernam
2023,Melaka,MY-04,Southern,1,Melaka Tengah
2023,Melaka,MY-04,Southern,2,Alor Gajah
2023,Melaka,MY-04,Southern,3,Jasin
2023,Terengganu,MY-11,East Coast,1,Kuala Terengganu
2023,Terengganu,MY-11,East Coast,2,Kemaman
2023,Terengganu,MY-11,East Coast,3,Besut
2023,Terengganu,MY-11,East Coast,4,Kuala Nerus
2023,Terengganu,MY-11,East Coast,5,Dungun
2023,Negeri Sembilan,MY-05,Central,1,Seremban
2023,Negeri Sembilan,MY-05,Central,2,Port Dickson
2023,Negeri Sembilan,MY-05,Central,3,Jempol
2023,Negeri Sembilan,MY-05,Central,4,Kuala Pilah
2023,Negeri Sembilan,MY-05,Central,5,Tampin
2023,Sabah,MY-12,East Malaysia,1,Kota Kinabalu
2023,Sabah,MY-12,East Malaysia,2,Tawau
2023,Sabah,MY-12,East Malaysia,3,Ranau
