year,state,state_code,region,visitors_thousands,tourists_thousands,excursionists_thousands,alos_days,total_expenditure_rm_million,accommodation_expenditure_rm_million,food_expenditure_rm_million,shopping_expenditure_rm_million,transport_expenditure_rm_million,accommodation_share,hotel_rooms_kpi,total_population_thousands,working_age_thousands,households_thousands,households_count,resident_median_income_rm,avg_household_size,feeder_hhi,top_origin_share_pct,tourist_nights_k,total_visitor_days_k,tey_rm_per_day,epr_ratio,attributable_gva_rm_million,dvr_retention_rate_pct,tir_visitors_per_resident,tir_tourists_per_resident,ryh_accom_per_household_rm,sdg_diagnosis,sdg_policy_action,sdg_status_color
2024,Perak,MY-08,Northern,21776.22,10208.95,11567.26,2.35,7223.8,757.9,1498.75,1993.05,470.56,0.1049,19299.0,2569.4,1769.7,660.817,660817,4687.0,3.89,1882.97,32.68,23991.0325,35558.2925,203.2,1.13,3446.4,47.7,8.48,3.97,1146.9,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2025,Perak,MY-08,Northern,23642.06,10413.82,13228.24,2.44,8018.54,795.67,1637.04,2250.35,543.73,0.0992,19572.0,2573.8,1780.2,666.344,666344,4786.6,3.86,1694.48,29.93,25409.7208,38637.9608,207.5,1.27,3853.5,48.1,9.19,4.05,1194.1,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2018,Perlis,MY-09,Northern,2155.51,917.87,1237.63,2.32,616.75,58.63,109.26,102.47,87.19,0.0951,1299.0,253.5,169.3,57.955,57955,4460.1,4.37,1270.93,21.51,2129.4584,3367.0884,183.2,1.35,274.3,44.5,8.5,3.62,1011.6,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2019,Perlis,MY-09,Northern,2087.37,625.96,1461.41,2.55,578.81,41.35,91.55,109.34,78.26,0.0714,1388.0,254.0,168.9,58.8,58800,4594.0,4.32,2421.31,33.15,1596.198,3057.608,189.3,2.33,268.5,46.4,8.22,2.46,703.2,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2020,Perlis,MY-09,Northern,1193.11,410.89,782.22,2.45,224.07,17.14,51.89,65.85,24.6,0.0765,1445.0,284.9,204.2,63.994,63994,4633.3,4.45,1677.83,23.39,1006.6805,1788.9005000000002,125.3,1.9,108.4,48.4,4.19,1.44,267.8,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2021,Perlis,MY-09,Northern,406.8,129.24,277.55,2.21,78.01,8.39,17.32,26.02,3.63,0.1075,1297.0,287.6,207.3,69.647,69647,4673.0,4.13,2738.91,48.29,285.6204,563.1704,138.5,2.15,38.3,49.1,1.41,0.45,120.5,Single-Origin Fragility,Excessive market concentration (HHI: 2739) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2022,Perlis,MY-09,Northern,1669.17,710.99,958.18,2.35,455.62,51.56,79.95,140.21,38.07,0.1132,1361.0,289.8,208.9,75.8,75800,4713.0,3.82,1341.33,21.88,1670.8265000000001,2629.0065,173.3,1.35,217.7,47.8,5.76,2.45,680.2,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2023,Perlis,MY-09,Northern,1950.77,735.99,1214.78,2.21,583.87,72.93,104.97,159.28,43.64,0.1249,1444.0,293.1,211.9,77.923,77923,4830.0,3.76,1671.63,27.22,1626.5379,2841.3179,205.5,1.65,272.2,46.6,6.66,2.51,935.9,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2024,Perlis,MY-09,Northern,3225.43,1262.04,1963.39,2.49,1002.81,98.79,192.03,288.9,76.21,0.0985,1489.0,296.8,214.4,80.105,80105,4950.0,3.71,1951.78,36.54,3142.4796,5105.8696,196.4,1.56,482.9,48.2,10.87,4.25,1233.3,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2025,Perlis,MY-09,Northern,3755.68,1474.94,2280.75,2.25,1211.2,118.12,246.45,327.52,101.61,0.0975,1553.0,297.0,214.6,82.348,82348,5072.9,3.61,1814.6,32.56,3318.6150000000002,5599.365,216.3,1.55,576.4,47.6,12.65,4.97,1434.4,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2018,Pulau Pinang,MY-07,Northern,14450.49,4002.91,10447.58,2.51,6164.57,697.03,728.57,2657.55,285.29,0.1131,20306.0,1762.8,1274.3,442.652,442652,5904.5,3.98,1828.22,25.52,10047.3041,20494.8841,300.8,2.61,3178.3,51.6,8.2,2.27,1574.7,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2019,Pulau Pinang,MY-07,Northern,15410.63,3904.56,11506.07,2.5,6653.66,662.53,792.38,2923.8,334.31,0.0996,21227.0,1768.8,1278.2,448.7,448700,6169.0,3.94,2233.56,38.61,9761.4,21267.47,312.9,2.95,3480.9,52.3,8.71,2.21,1476.6,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2020,Pulau Pinang,MY-07,Northern,8929.51,2749.58,6179.93,2.03,2427.16,148.53,447.31,1273.38,140.32,0.0612,22840.0,1740.4,1275.6,458.357,458357,6278.1,3.8,1978.77,28.14,5581.647399999999,11761.577399999998,206.4,2.25,1344.9,55.4,5.13,1.58,324.0,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2021,Pulau Pinang,MY-07,Northern,5060.86,712.74,4348.12,2.14,1158.81,78.02,147.69,682.85,46.44,0.0673,20558.0,1740.0,1274.4,468.222,468222,6389.0,3.72,1668.26,32.93,1525.2636,5873.3836,197.3,6.1,663.1,57.2,2.91,0.41,166.6,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2022,Pulau Pinang,MY-07,Northern,10002.74,3484.23,6518.51,2.59,3648.4,476.69,596.62,1283.19,189.04,0.1307,24704.0,1740.9,1275.8,478.3,478300,6502.0,3.64,1748.49,30.37,9024.1557,15542.6657,234.7,1.87,1772.8,48.6,5.75,2.0,996.6,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2023,Pulau Pinang,MY-07,Northern,13127.59,4069.7,9057.89,2.4,5814.74,714.83,983.68,2431.32,355.33,0.1229,25543.0,1772.6,1299.1,484.995,484995,6929.9,3.65,1944.71,36.65,9767.279999999999,18825.17,308.9,2.23,2914.8,50.1,7.41,2.3,1473.9,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2024,Pulau Pinang,MY-07,Northern,16604.8,4766.02,11838.78,2.58,7424.29,961.94,1227.18,3025.86,431.43,0.1296,26692.0,1800.5,1319.1,491.784,491784,7386.0,3.66,1502.13,25.16,12296.331600000001,24135.111600000004,307.6,2.48,3687.4,49.7,9.22,2.65,1956.0,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2025,Pulau Pinang,MY-07,Northern,17717.98,5629.54,12088.43,2.65,8490.36,1079.52,1378.62,3423.33,512.17,0.1271,28045.0,1804.3,1320.7,498.668,498668,7872.1,3.62,2220.14,41.97,14918.280999999999,27006.711,314.4,2.15,4217.0,49.7,9.82,3.12,2164.8,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2019,Sabah,MY-12,East Malaysia,22035.07,4948.36,17086.7,2.79,8080.67,624.71,1011.8,3048.83,707.75,0.0773,27995.0,3904.4,2858.1,513.2,513200,4235.0,7.61,7303.8,85.2,13805.9244,30892.6244,261.6,3.45,4144.2,51.3,5.64,1.27,1217.3,Single-Origin Fragility,Excessive market concentration (HHI: 7304) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2020,Sabah,MY-12,East Malaysia,10336.9,2456.43,7880.47,1.96,2676.77,164.35,388.47,1516.4,200.82,0.0614,28232.0,3418.8,2319.7,541.03,541030,4346.1,6.32,6612.11,80.83,4814.6028,12695.0728,210.9,3.21,1503.5,56.2,3.02,0.72,303.8,Single-Origin Fragility,Excessive market concentration (HHI: 6612) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2021,Sabah,MY-12,East Malaysia,3815.02,1068.88,2746.14,2.31,1052.02,59.12,138.35,531.1,55.12,0.0562,27963.0,3412.6,2334.0,570.37,570370,4460.0,5.98,7867.89,88.56,2469.1128000000003,5215.2528,201.7,2.57,586.2,55.7,1.12,0.31,103.7,Single-Origin Fragility,Excessive market concentration (HHI: 7868) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2022,Sabah,MY-12,East Malaysia,12589.0,3823.05,8765.96,3.06,4825.87,520.31,723.18,1840.07,452.57,0.1078,25344.0,3414.9,2357.6,601.3,601300,4577.0,5.68,6970.72,83.25,11698.533000000001,20464.493000000002,235.8,2.29,2390.9,49.5,3.69,1.12,865.3,Single-Origin Fragility,Excessive market concentration (HHI: 6971) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2023,Sabah,MY-12,East Malaysia,16080.07,5775.14,10304.94,2.67,6712.51,1008.65,1093.93,2461.89,547.79,0.1503,26706.0,3596.7,2501.9,617.671,617671,4730.9,5.82,7098.75,84.02,15419.623800000001,25724.563800000004,260.9,1.78,3174.3,47.3,4.47,1.61,1633.0,Single-Origin Fragility,Excessive market concentration (HHI: 7099) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2024,Sabah,MY-12,East Malaysia,20591.81,6081.48,14510.33,3.01,8634.25,1034.4,1287.62,3176.54,729.37,0.1198,27208.0,3742.0,2621.9,634.488,634488,4890.0,5.9,4825.22,67.95,18305.2548,32815.5848,263.1,2.39,4219.4,48.9,5.5,1.63,1630.3,Single-Origin Fragility,Excessive market concentration (HHI: 4825) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2025,Sabah,MY-12,East Malaysia,22361.17,7359.89,15001.28,3.15,9753.33,1073.57,1459.23,3589.15,836.01,0.1101,27254.0,3754.5,2647.0,651.763,651763,5054.4,5.76,5746.95,75.22,23183.6535,38184.9335,255.4,2.04,4811.0,49.3,5.96,1.96,1647.2,Single-Origin Fragility,Excessive market concentration (HHI: 5747) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2018,Sarawak,MY-13,East Malaysia,19380.23,5180.05,14200.18,3.39,8144.81,444.39,848.96,3544.33,869.41,0.0546,27338.0,2791.7,1938.0,618.047,618047,4413.2,4.52,5676.32,73.12,17560.3695,31760.5495,256.4,2.74,4346.3,53.4,6.94,1.86,719.0,Single-Origin Fragility,Excessive market concentration (HHI: 5676) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2019,Sarawak,MY-13,East Malaysia,19793.38,5064.46,14728.92,3.43,8670.74,498.42,962.26,3777.46,817.51,0.0575,27376.0,2806.0,1957.2,625.4,625400,4544.0,4.49,8521.1,92.24,17371.0978,32100.0178,270.1,2.91,4634.5,53.4,7.05,1.8,797.0,Single-Origin Fragility,Excessive market concentration (HHI: 8521) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2020,Sarawak,MY-13,East Malaysia,9393.25,2627.05,6766.21,2.55,3384.67,186.53,579.09,1923.59,202.16,0.0551,28511.0,2453.7,1728.6,615.718,615718,4684.3,3.99,7998.07,89.3,6698.9775,13465.1875,251.4,2.58,1918.3,56.7,3.83,1.07,302.9,Single-Origin Fragility,Excessive market concentration (HHI: 7998) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2021,Sarawak,MY-13,East Malaysia,6510.9,1086.63,5424.27,3.03,1935.26,69.03,205.51,1171.09,107.22,0.0357,28752.0,2465.6,1739.7,606.185,606185,4828.9,4.07,6691.93,81.43,3292.4889000000003,8716.7589,222.0,4.99,1140.8,58.9,2.64,0.44,113.9,Single-Origin Fragility,Excessive market concentration (HHI: 6692) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2022,Sarawak,MY-13,East Malaysia,15464.62,3988.88,11475.74,3.52,5430.77,397.03,738.28,2328.73,482.66,0.0731,25610.0,2473.5,1753.7,596.8,596800,4978.0,4.14,8549.06,92.4,14040.857600000001,25516.5976,212.8,2.88,2849.6,52.5,6.25,1.61,665.3,Single-Origin Fragility,Excessive market concentration (HHI: 8549) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2023,Sarawak,MY-13,East Malaysia,17901.19,5324.63,12576.56,3.48,6942.67,779.55,981.64,2655.61,569.4,0.1123,26592.0,2502.3,1780.3,604.5,604500,5234.4,4.14,8614.18,92.74,18529.7124,31106.2724,223.2,2.36,3447.4,49.7,7.15,2.13,1289.6,Single-Origin Fragility,Excessive market concentration (HHI: 8614) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2024,Sarawak,MY-13,East Malaysia,19625.55,5701.03,13924.52,3.09,7956.67,823.12,1124.26,3208.49,700.77,0.1034,27913.0,2517.5,1793.0,612.299,612299,5504.0,4.11,5256.73,71.14,17616.182699999998,31540.702699999998,252.3,2.44,4010.2,50.4,7.8,2.26,1344.3,Single-Origin Fragility,Excessive market concentration (HHI: 5257) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2025,Sarawak,MY-13,East Malaysia,22721.53,6329.89,16391.63,3.1,9138.38,872.6,1314.35,3647.93,789.29,0.0955,28236.0,2528.9,1801.6,620.199,620199,5787.5,4.08,4424.38,65.22,19622.659000000003,36014.289000000004,253.7,2.59,4636.2,50.7,8.98,2.5,1407.0,Single-Origin Fragility,Excessive market concentration (HHI: 4424) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2018,Selangor,MY-10,Central,30179.05,6770.47,23408.57,1.87,13189.34,713.08,1767.74,6032.17,1032.12,0.0541,31668.0,6475.0,4638.3,1598.53,1598530,7867.6,4.05,1996.19,40.11,12660.778900000001,36069.3489,365.7,3.46,7156.7,54.3,4.66,1.05,446.1,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2019,Selangor,MY-10,Central,33588.53,9149.42,24439.11,2.24,15544.41,926.98,2240.06,7259.5,1073.24,0.0596,32243.0,6506.1,4654.3,1623.1,1623100,8210.0,4.01,1755.14,35.02,20494.700800000002,44933.81080000001,345.9,2.67,8442.9,54.3,5.16,1.41,571.1,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2020,Selangor,MY-10,Central,19714.73,4693.15,15021.59,1.64,7051.46,156.12,1199.12,4328.33,433.54,0.0221,34610.0,6994.4,4962.2,1672.168,1672168,8762.9,4.18,1639.92,30.24,7696.765999999999,22718.356,310.4,3.2,4177.5,59.2,2.82,0.67,93.4,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2021,Selangor,MY-10,Central,10211.58,1207.37,9004.21,1.83,3158.56,137.61,594.87,1653.88,103.95,0.0436,30850.0,7014.7,4978.8,1722.72,1722720,9353.1,4.07,2560.02,43.44,2209.4871,11213.6971,281.7,7.46,1793.3,56.8,1.46,0.17,79.9,Single-Origin Fragility,Excessive market concentration (HHI: 2560) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2022,Selangor,MY-10,Central,21989.56,6388.78,15600.77,2.32,8734.81,669.94,1170.12,3854.96,673.36,0.0767,32241.0,7050.3,5008.9,1774.8,1774800,9983.0,3.97,1996.03,39.22,14821.969599999999,30422.7396,287.1,2.44,4613.8,52.8,3.12,0.91,377.5,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2023,Selangor,MY-10,Central,27579.48,8455.68,19123.8,2.24,11102.71,1299.08,1847.02,4144.81,769.17,0.117,32656.0,7209.7,5120.0,1815.659,1815659,10347.8,3.97,2045.36,37.92,18940.723200000004,38064.5232,291.7,2.26,5477.1,49.3,3.83,1.17,715.5,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2024,Selangor,MY-10,Central,34460.83,9574.39,24886.44,2.24,14226.13,1369.21,2224.2,6091.68,911.44,0.0962,34883.0,7362.7,5228.5,1857.459,1857459,10726.0,3.96,1611.92,30.85,21446.6336,46333.0736,307.0,2.6,7354.4,51.7,4.68,1.3,737.1,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2025,Selangor,MY-10,Central,36376.44,10595.56,25780.89,2.31,15761.73,1487.46,2482.16,6661.69,1043.95,0.0944,35066.0,7408.7,5261.7,1900.221,1900221,11118.0,3.9,1203.76,22.92,24475.743599999998,50256.6336,313.6,2.43,8136.2,51.6,4.91,1.43,782.8,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2018,Terengganu,MY-11,East Coast,13742.37,4862.94,8879.43,2.6,5585.34,382.99,1066.43,2155.3,163.11,0.0686,9860.0,1228.3,788.3,251.174,251174,5245.4,4.89,2512.12,44.39,12643.644,21523.074,259.5,1.83,2944.0,52.7,11.19,3.96,1524.8,Single-Origin Fragility,Excessive market concentration (HHI: 2512) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2019,Terengganu,MY-11,East Coast,14158.28,4860.47,9297.81,2.58,5990.01,418.94,1132.73,2296.78,191.23,0.0699,10736.0,1244.5,797.9,257.6,257600,5545.0,4.83,1923.19,36.65,12540.012600000002,21837.8226,274.3,1.91,3147.4,52.5,11.38,3.91,1626.3,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2020,Terengganu,MY-11,East Coast,7419.73,2670.05,4749.68,2.06,2254.51,58.18,543.29,1181.27,80.93,0.0258,10918.0,1149.4,757.1,265.301,265301,5653.8,4.33,2386.49,41.28,5500.303000000001,10249.983,220.0,1.78,1290.7,57.2,6.46,2.32,219.3,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2021,Terengganu,MY-11,East Coast,3719.05,1140.03,2579.02,2.2,984.11,106.27,206.4,419.57,34.57,0.108,10562.0,1170.7,770.1,273.232,273232,5764.8,4.28,2475.03,43.35,2508.0660000000003,5087.086,193.5,2.26,505.1,51.3,3.18,0.97,388.9,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2022,Terengganu,MY-11,East Coast,10233.28,3689.34,6543.94,2.69,3363.3,292.02,524.11,1491.09,195.01,0.0868,10993.0,1186.6,781.2,281.4,281400,5878.0,4.22,1617.77,23.94,9924.3246,16468.2646,204.2,1.77,1769.7,52.6,8.62,3.11,1037.7,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2023,Terengganu,MY-11,East Coast,11760.52,4060.01,7700.51,2.59,4192.32,359.32,791.25,1650.48,248.97,0.0857,10927.0,1210.0,798.1,288.02,288020,6241.3,4.2,1997.56,29.64,10515.4259,18215.9359,230.1,1.9,2154.1,51.4,9.72,3.36,1247.6,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2024,Terengganu,MY-11,East Coast,14460.73,4918.4,9542.32,2.5,5170.36,437.08,947.37,2033.82,309.69,0.0845,11190.0,1231.5,813.8,294.796,294796,6627.0,4.18,1317.56,19.79,12296.0,21838.32,236.8,1.94,2660.7,51.5,11.74,3.99,1482.7,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2025,Terengganu,MY-11,East Coast,15462.28,5239.64,10222.64,2.76,5795.14,489.09,1071.01,2245.8,366.95,0.0844,11314.0,1245.8,823.6,301.731,301731,7036.6,4.13,1115.05,17.24,14461.4064,24684.0464,234.8,1.95,2970.7,51.3,12.41,4.21,1620.9,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2018,W.P. Kuala Lumpur,MY-14,Central,19165.5,3925.65,15239.84,2.57,10234.7,627.18,1204.71,5446.28,440.4,0.0613,57286.0,1790.0,1304.6,476.612,476612,10032.1,3.76,1250.24,19.5,10088.9205,25328.7605,404.1,3.88,5765.4,56.3,10.71,2.19,1315.9,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2019,W.P. Kuala Lumpur,MY-14,Central,22633.37,4269.17,18364.2,2.39,12141.23,830.52,1414.78,6371.66,572.02,0.0684,58478.0,1782.5,1295.8,484.3,484300,10549.0,3.68,1241.77,21.47,10203.3163,28567.516300000003,425.0,4.3,6767.8,55.7,12.7,2.4,1714.9,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2020,W.P. Kuala Lumpur,MY-14,Central,12434.91,3684.49,8750.41,1.83,5273.19,234.81,749.98,3232.55,273.02,0.0445,60095.0,1982.1,1455.9,506.195,506195,10442.9,3.92,1177.52,20.08,6742.6167,15493.026699999999,340.4,2.37,3085.1,58.5,6.27,1.86,463.9,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2021,W.P. Kuala Lumpur,MY-14,Central,9116.0,922.41,8193.59,2.18,3083.52,132.71,463.88,1864.95,149.08,0.043,56334.0,1964.0,1449.7,529.08,529080,10337.9,3.71,1250.55,21.02,2010.8538,10204.443800000001,302.2,8.88,1801.6,58.4,4.64,0.47,250.8,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2022,W.P. Kuala Lumpur,MY-14,Central,16912.53,4117.1,12795.44,3.09,7732.8,607.69,1033.74,3708.32,595.79,0.0786,55641.0,1961.2,1457.0,553.0,553000,10234.0,3.55,1063.5,21.35,12721.839,25517.279000000002,303.0,3.11,4139.2,53.5,8.62,2.1,1098.9,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2023,W.P. Kuala Lumpur,MY-14,Central,22232.64,5724.79,16507.85,2.7,10995.32,1673.79,1594.89,4850.55,615.29,0.1522,60872.0,2005.7,1504.4,563.669,563669,10514.2,3.56,1512.18,32.4,15456.933,31964.783,344.0,2.88,5433.8,49.4,11.08,2.85,2969.5,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2024,W.P. Kuala Lumpur,MY-14,Central,26982.96,6216.3,20766.66,2.23,14077.66,1702.98,2070.36,6778.86,734.18,0.121,63973.0,2067.5,1569.0,574.543,574543,10802.0,3.6,1107.31,20.77,13862.349,34629.009,406.5,3.34,7305.5,51.9,13.05,3.01,2964.1,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2025,W.P. Kuala Lumpur,MY-14,Central,35059.93,10078.57,24981.36,2.33,16906.19,1945.36,2285.16,7903.11,1241.07,0.1151,66133.0,2075.2,1578.5,585.627,585627,11097.7,3.54,1026.95,18.05,23483.0681,48464.428100000005,348.8,2.48,8709.9,51.5,16.89,4.86,3321.8,Carrying Capacity Volume Pressure,High visitor intensity (16.9 visitors per resident). Priority: Shift from visitor volume targets to yield-per-visitor optimization.,#3b82f6
2018,W.P. Labuan,MY-15,East Malaysia,544.93,326.67,218.26,3.28,391.12,59.98,46.9,133.28,93.48,0.1534,2197.0,99.0,68.3,22.691,22691,6448.7,4.36,1328.01,24.06,1071.4776,1289.7376,303.3,0.67,170.1,43.5,5.5,3.3,2643.3,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2019,W.P. Labuan,MY-15,East Malaysia,523.87,231.94,291.93,3.05,392.04,59.29,46.12,132.94,93.9,0.1512,2103.0,99.3,68.7,23.7,23700,6726.0,4.19,1011.39,14.35,707.4169999999999,999.347,392.3,1.26,170.8,43.6,5.28,2.34,2501.7,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2020,W.P. Labuan,MY-15,East Malaysia,107.53,76.82,30.71,1.57,60.44,6.47,10.59,20.81,16.47,0.1071,2282.0,95.1,65.0,22.978,22978,6784.8,4.14,3476.64,45.17,120.6074,151.3174,399.4,0.4,27.1,44.8,1.13,0.81,281.6,Single-Origin Fragility,Excessive market concentration (HHI: 3477) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2021,W.P. Labuan,MY-15,East Malaysia,53.9,27.15,26.75,2.52,29.36,2.93,4.63,9.03,7.5,0.0997,2285.0,96.0,65.6,22.278,22278,6844.1,4.31,2922.01,35.9,68.41799999999999,95.16799999999999,308.5,0.99,13.2,45.0,0.56,0.28,131.5,Single-Origin Fragility,Excessive market concentration (HHI: 2922) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2022,W.P. Labuan,MY-15,East Malaysia,243.69,111.66,132.04,3.67,136.29,23.68,11.8,48.6,28.4,0.1737,2284.0,96.9,65.9,21.6,21600,6904.0,4.49,2705.98,45.15,409.7922,541.8322,251.5,1.18,59.6,43.7,2.51,1.15,1096.3,Single-Origin Fragility,Excessive market concentration (HHI: 2706) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
