year,state,state_code,region,visitors_thousands,tourists_thousands,excursionists_thousands,alos_days,total_expenditure_rm_million,accommodation_expenditure_rm_million,food_expenditure_rm_million,shopping_expenditure_rm_million,transport_expenditure_rm_million,accommodation_share,hotel_rooms_kpi,total_population_thousands,working_age_thousands,households_thousands,households_count,resident_median_income_rm,avg_household_size,feeder_hhi,top_origin_share_pct,tourist_nights_k,total_visitor_days_k,tey_rm_per_day,epr_ratio,attributable_gva_rm_million,dvr_retention_rate_pct,tir_visitors_per_resident,tir_tourists_per_resident,ryh_accom_per_household_rm,sdg_diagnosis,sdg_policy_action,sdg_status_color
2023,Kedah,MY-02,Northern,13444.06,6452.43,6991.63,2.03,4206.62,497.52,793.91,1239.69,414.83,0.1183,19629.0,2189.3,1461.4,543.093,543093,4642.0,4.03,1954.69,28.14,13098.4329,20090.0629,209.4,1.08,1970.5,46.8,6.14,2.95,916.1,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2024,Kedah,MY-02,Northern,14651.49,6854.42,7797.07,2.77,4961.15,531.79,960.76,1454.56,480.05,0.1072,18602.0,2217.1,1482.0,552.135,552135,4895.0,4.02,1770.59,26.17,18986.7434,26783.8134,185.2,1.14,2350.1,47.4,6.61,3.09,963.2,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2025,Kedah,MY-02,Northern,15607.88,7124.85,8483.04,2.82,5520.25,587.96,1040.12,1576.86,519.53,0.1065,18679.0,2227.1,1490.8,561.327,561327,5161.8,3.97,1343.6,23.53,20092.077,28575.117000000002,193.2,1.19,2613.3,47.3,7.01,3.2,1047.4,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2018,Kelantan,MY-03,East Coast,9846.12,4726.27,5119.86,2.88,4001.4,151.89,614.79,1271.15,269.44,0.038,5225.0,1860.5,1183.4,342.34,342340,3393.8,5.43,1841.52,31.75,13611.6576,18731.5176,213.6,1.08,2090.7,52.2,5.29,2.54,443.7,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2019,Kelantan,MY-03,East Coast,10985.65,6486.51,4499.14,3.01,4800.04,205.74,767.46,1501.92,331.86,0.0429,5225.0,1883.8,1200.4,345.4,345400,3563.0,5.45,1835.61,33.17,19524.395099999998,24023.535099999997,199.8,0.69,2487.5,51.8,5.83,3.44,595.7,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2020,Kelantan,MY-03,East Coast,6058.18,3318.27,2739.91,1.86,1555.12,59.02,312.65,732.41,132.77,0.038,5873.0,1792.5,1141.3,349.485,349485,3579.9,5.13,2131.3,38.2,6171.9822,8911.8922,174.5,0.83,851.3,54.7,3.38,1.85,168.9,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2021,Kelantan,MY-03,East Coast,1920.93,841.76,1079.17,3.14,477.22,19.04,85.87,207.49,18.13,0.0399,6096.0,1812.3,1153.6,353.618,353618,3596.9,5.13,2308.41,35.19,2643.1264,3722.2964,128.2,1.28,262.7,55.0,1.06,0.46,53.8,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2022,Kelantan,MY-03,East Coast,6627.15,3544.77,3082.39,3.16,2586.22,168.22,411.72,848.0,157.86,0.065,6075.0,1830.6,1168.9,357.8,357800,3614.0,5.12,1333.04,22.44,11201.4732,14283.8632,181.1,0.87,1324.3,51.2,3.62,1.94,470.2,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2023,Kelantan,MY-03,East Coast,7549.37,4085.79,3463.58,3.07,3228.39,316.65,531.88,1003.38,211.09,0.0981,6269.0,1859.8,1195.5,362.247,362247,3841.3,5.13,1505.66,25.23,12543.3753,16006.9553,201.7,0.85,1584.0,49.1,4.06,2.2,874.1,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2024,Kelantan,MY-03,East Coast,10514.41,5863.78,4650.63,2.98,4540.61,430.56,803.35,1392.1,322.82,0.0948,6362.0,1887.9,1221.1,366.75,366750,4083.0,5.15,1519.64,23.3,17474.0644,22124.6944,205.2,0.79,2221.9,48.9,5.57,3.11,1174.0,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
