year,state,total_population_thousands,total_population_millions,children_0_14_thousands,dts_15_24_thousands,dts_25_39_thousands,dts_40_54_thousands,dts_55plus_thousands,adult_15plus_thousands,working_age_thousands,elderly_65plus_thousands,children_pct,working_age_pct,elderly_pct,dts_15_24_pct,dts_25_39_pct,dts_40_54_pct,dts_55plus_pct,dependency_ratio,state_code,region,households_thousands,households_count,median_household_income_rm,mean_household_income_rm,avg_household_size,data_status
2025,Kelantan,1906.9,1.9069,526.7,387.1,421.7,274.4,297.0,1380.2,1239.0,141.2,27.6,65.0,7.4,28.0,30.6,19.9,21.5,53.9,MY-03,East Coast,371.309,371309,4339.9,5465.9,5.14,official_dosm_estimates
2018,Melaka,922.4,0.9224,211.7,174.2,235.9,146.2,154.6,710.9,636.8,74.1,23.0,69.0,8.0,24.5,33.2,20.6,21.7,44.9,MY-04,Southern,223.03,223030,5894.5,7431.5,4.14,official_dosm_estimates
2019,Melaka,928.4,0.9284,211.4,168.9,242.6,145.7,159.8,717.0,639.9,77.1,22.8,68.9,8.3,23.6,33.8,20.3,22.3,45.1,MY-04,Southern,227.9,227900,6054.0,7741.0,4.07,official_dosm_estimates
2020,Melaka,998.4,0.9984,234.0,194.1,260.5,170.2,139.6,764.4,701.2,63.2,23.4,70.2,6.3,25.4,34.1,22.3,18.3,42.4,MY-04,Southern,238.743,238743,6105.6,7844.9,4.18,official_dosm_estimates
2021,Melaka,1004.5,1.0045,234.1,190.4,263.7,173.8,142.6,770.5,705.4,65.1,23.3,70.2,6.5,24.7,34.2,22.6,18.5,42.4,MY-04,Southern,250.101,250101,6157.6,7950.3,4.02,official_dosm_estimates
2022,Melaka,1008.6,1.0086,234.9,186.9,264.7,177.9,144.1,773.6,706.7,66.9,23.3,70.1,6.6,24.2,34.2,23.0,18.6,42.7,MY-04,Southern,262.0,262000,6210.0,8057.0,3.85,official_dosm_estimates
2023,Melaka,1028.3,1.0283,234.9,185.9,276.9,184.0,146.5,793.3,724.3,69.0,22.8,70.4,6.7,23.4,34.9,23.2,18.5,42.0,MY-04,Southern,268.286,268286,6541.6,8365.6,3.83,official_dosm_estimates
2024,Melaka,1046.7,1.0467,233.5,184.3,289.4,191.4,148.2,813.3,742.5,70.8,22.3,70.9,6.8,22.7,35.6,23.5,18.2,41.0,MY-04,Southern,274.723,274723,6891.0,8686.0,3.81,official_dosm_estimates
2025,Melaka,1052.0,1.052,229.8,178.5,293.2,196.2,154.4,822.3,745.9,76.4,21.8,70.9,7.3,21.7,35.7,23.9,18.8,41.1,MY-04,Southern,281.314,281314,7259.0,9018.7,3.74,official_dosm_estimates
2018,Negeri Sembilan,1122.9,1.1229,259.7,220.8,274.8,178.5,189.0,863.1,777.1,86.0,23.1,69.2,7.7,25.6,31.8,20.7,21.9,44.5,MY-05,Central,265.08,265080,4858.8,6421.7,4.24,official_dosm_estimates
2019,Negeri Sembilan,1126.2,1.1262,257.0,217.5,279.2,177.9,194.5,869.1,778.4,90.7,22.8,69.1,8.1,25.0,32.1,20.5,22.4,44.7,MY-05,Central,270.8,270800,5005.0,6707.0,4.16,official_dosm_estimates
2020,Negeri Sembilan,1200.0,1.2,302.1,200.4,314.6,192.9,190.1,898.0,816.6,81.4,25.2,68.0,6.8,22.3,35.0,21.5,21.2,47.0,MY-05,Central,283.069,283069,5077.6,6733.9,4.24,official_dosm_estimates
2021,Negeri Sembilan,1204.2,1.2042,300.9,200.6,309.9,196.7,196.0,903.2,817.2,86.0,25.0,67.9,7.1,22.2,34.3,21.8,21.7,47.3,MY-05,Central,295.894,295894,5151.3,6760.9,4.07,official_dosm_estimates
2022,Negeri Sembilan,1207.9,1.2079,299.4,200.9,307.3,202.1,198.3,908.6,820.3,88.3,24.8,67.9,7.3,22.1,33.8,22.2,21.8,47.3,MY-05,Central,309.3,309300,5226.0,6788.0,3.91,official_dosm_estimates
2023,Negeri Sembilan,1224.9,1.2249,296.5,205.1,312.8,208.9,201.4,928.2,836.6,91.6,24.2,68.3,7.5,22.1,33.7,22.5,21.7,46.4,MY-05,Central,315.978,315978,5405.4,7041.8,3.88,official_dosm_estimates
2024,Negeri Sembilan,1239.5,1.2395,294.5,205.9,317.4,217.9,204.0,945.2,850.5,94.7,23.8,68.6,7.6,21.8,33.6,23.1,21.6,45.8,MY-05,Central,322.801,322801,5591.0,7305.0,3.84,official_dosm_estimates
