year,state,total_population_thousands,total_population_millions,children_0_14_thousands,dts_15_24_thousands,dts_25_39_thousands,dts_40_54_thousands,dts_55plus_thousands,adult_15plus_thousands,working_age_thousands,elderly_65plus_thousands,children_pct,working_age_pct,elderly_pct,dts_15_24_pct,dts_25_39_pct,dts_40_54_pct,dts_55plus_pct,dependency_ratio,state_code,region,households_thousands,households_count,median_household_income_rm,mean_household_income_rm,avg_household_size,data_status
2023,Terengganu,1210.0,1.21,340.2,229.6,281.3,193.7,165.3,869.9,798.1,71.8,28.1,66.0,5.9,26.4,32.3,22.3,19.0,51.6,MY-11,East Coast,288.02,288020,6241.3,7435.1,4.2,official_dosm_estimates
2024,Terengganu,1231.5,1.2315,343.0,229.1,289.3,200.9,169.3,888.6,813.8,74.8,27.9,66.1,6.1,25.8,32.6,22.6,19.1,51.3,MY-11,East Coast,294.796,294796,6627.0,7627.0,4.18,official_dosm_estimates
2025,Terengganu,1245.8,1.2458,343.2,226.1,294.3,207.1,174.8,902.3,823.6,78.7,27.5,66.1,6.3,25.1,32.6,23.0,19.4,51.2,MY-11,East Coast,301.731,301731,7036.6,7823.9,4.13,official_dosm_estimates
2018,W.P. Kuala Lumpur,1790.0,1.79,364.0,269.2,530.4,350.6,275.7,1425.9,1304.6,121.3,20.3,72.9,6.8,18.9,37.2,24.6,19.3,37.2,MY-14,Central,476.612,476612,10032.1,12713.3,3.76,official_dosm_estimates
2019,W.P. Kuala Lumpur,1782.5,1.7825,359.1,264.2,517.4,354.8,287.1,1423.5,1295.8,127.7,20.1,72.7,7.2,18.6,36.3,24.9,20.2,37.6,MY-14,Central,484.3,484300,10549.0,13257.0,3.68,official_dosm_estimates
2020,W.P. Kuala Lumpur,1982.1,1.9821,395.8,251.0,658.9,417.1,259.2,1586.2,1455.9,130.3,20.0,73.5,6.6,15.8,41.5,26.3,16.3,36.1,MY-14,Central,506.195,506195,10442.9,13279.6,3.92,official_dosm_estimates
2021,W.P. Kuala Lumpur,1964.0,1.964,382.9,255.7,629.6,432.3,263.6,1581.2,1449.7,131.5,19.5,73.8,6.7,16.2,39.8,27.3,16.7,35.5,MY-14,Central,529.08,529080,10337.9,13302.3,3.71,official_dosm_estimates
2022,W.P. Kuala Lumpur,1961.2,1.9612,371.5,261.9,603.2,457.2,267.3,1589.6,1457.0,132.6,18.9,74.3,6.8,16.5,37.9,28.8,16.8,34.6,MY-14,Central,553.0,553000,10234.0,13325.0,3.55,official_dosm_estimates
2023,W.P. Kuala Lumpur,2005.7,2.0057,364.7,272.8,603.8,489.2,275.1,1640.9,1504.4,136.5,18.2,75.0,6.8,16.6,36.8,29.8,16.8,33.3,MY-14,Central,563.669,563669,10514.2,13651.0,3.56,official_dosm_estimates
2024,W.P. Kuala Lumpur,2067.5,2.0675,358.6,285.5,613.8,528.0,281.7,1709.0,1569.0,140.0,17.3,75.9,6.8,16.7,35.9,30.9,16.5,31.8,MY-14,Central,574.543,574543,10802.0,13985.0,3.6,official_dosm_estimates
2025,W.P. Kuala Lumpur,2075.2,2.0752,349.9,285.5,590.7,549.9,299.1,1725.2,1578.5,146.7,16.9,76.1,7.1,16.5,34.2,31.9,17.3,31.5,MY-14,Central,585.627,585627,11097.7,14327.2,3.54,official_dosm_estimates
2018,W.P. Labuan,99.0,0.099,26.5,16.4,29.4,15.9,10.7,72.4,68.3,4.1,26.8,69.0,4.1,22.7,40.6,22.0,14.8,44.8,MY-15,East Malaysia,22.691,22691,6448.7,8270.4,4.36,official_dosm_estimates
2019,W.P. Labuan,99.3,0.0993,26.3,16.3,29.3,16.1,11.3,73.0,68.7,4.3,26.5,69.2,4.3,22.3,40.1,22.1,15.5,44.5,MY-15,East Malaysia,23.7,23700,6726.0,8319.0,4.19,official_dosm_estimates
2020,W.P. Labuan,95.1,0.0951,26.0,16.8,27.3,14.4,10.5,69.0,65.0,4.0,27.3,68.3,4.2,24.3,39.6,20.9,15.2,46.2,MY-15,East Malaysia,22.978,22978,6784.8,8295.9,4.14,official_dosm_estimates
2021,W.P. Labuan,96.0,0.096,26.2,16.5,27.2,15.1,10.9,69.7,65.6,4.1,27.3,68.3,4.3,23.7,39.0,21.7,15.6,46.2,MY-15,East Malaysia,22.278,22278,6844.1,8272.9,4.31,official_dosm_estimates
2022,W.P. Labuan,96.9,0.0969,26.4,16.2,26.8,16.0,11.5,70.5,65.9,4.6,27.2,68.0,4.7,23.0,38.0,22.7,16.3,47.0,MY-15,East Malaysia,21.6,21600,6904.0,8250.0,4.49,official_dosm_estimates
2023,W.P. Labuan,99.0,0.099,26.2,16.8,26.7,17.1,12.3,72.9,68.0,4.9,26.5,68.7,4.9,23.0,36.6,23.5,16.9,45.7,MY-15,East Malaysia,22.14,22140,7139.5,8401.1,4.47,official_dosm_estimates
2024,W.P. Labuan,100.8,0.1008,26.6,16.8,26.5,18.4,12.6,74.3,69.1,5.2,26.4,68.6,5.2,22.6,35.7,24.8,17.0,46.0,MY-15,East Malaysia,22.694,22694,7383.0,8555.0,4.44,official_dosm_estimates
2025,W.P. Labuan,100.9,0.1009,25.5,17.0,25.6,19.7,13.1,75.4,69.9,5.5,25.3,69.3,5.5,22.5,34.0,26.1,17.4,44.3,MY-15,East Malaysia,23.262,23262,7634.8,8711.7,4.34,official_dosm_estimates
2018,W.P. Putrajaya,97.2,0.0972,35.4,13.7,28.1,13.1,6.9,61.8,60.4,1.4,36.4,62.1,1.4,22.2,45.5,21.2,11.2,60.9,MY-16,Central,30.64,30640,9377.7,12396.5,3.17,official_dosm_estimates
2019,W.P. Putrajaya,103.7,0.1037,36.9,15.7,28.1,15.1,7.8,66.7,65.0,1.7,35.6,62.7,1.6,23.5,42.1,22.6,11.7,59.4,MY-16,Central,32.7,32700,9983.0,12840.0,3.17,official_dosm_estimates
2020,W.P. Putrajaya,109.2,0.1092,41.5,10.1,35.4,16.9,5.3,67.7,66.1,1.6,38.0,60.5,1.5,14.9,52.3,25.0,7.8,65.2,MY-16,Central,32.089,32089,10007.3,13047.6,3.4,official_dosm_estimates
2021,W.P. Putrajaya,115.2,0.1152,43.3,11.2,34.7,20.3,5.9,72.1,70.3,1.8,37.6,61.0,1.6,15.5,48.1,28.2,8.2,64.2,MY-16,Central,31.489,31489,10031.6,13258.6,3.66,official_dosm_estimates
2022,W.P. Putrajaya,117.0,0.117,43.3,12.2,32.0,23.2,6.4,73.8,71.9,1.9,37.0,61.5,1.6,16.5,43.4,31.4,8.7,62.9,MY-16,Central,30.9,30900,10056.0,13473.0,3.79,official_dosm_estimates
2023,W.P. Putrajaya,118.8,0.1188,42.9,13.7,29.4,26.1,6.8,76.0,73.8,2.2,36.1,62.1,1.9,18.0,38.7,34.3,8.9,61.1,MY-16,Central,31.867,31867,10406.4,13658.2,3.73,official_dosm_estimates
2024,W.P. Putrajaya,120.3,0.1203,41.7,15.7,26.5,29.2,7.2,78.6,76.3,2.3,34.7,63.4,1.9,20.0,33.7,37.2,9.2,57.7,MY-16,Central,32.864,32864,10769.0,13846.0,3.66,official_dosm_estimates
2025,W.P. Putrajaya,120.7,0.1207,40.2,17.8,23.1,31.9,7.6,80.4,77.9,2.5,33.3,64.5,2.1,22.1,28.7,39.7,9.5,54.8,MY-16,Central,33.892,33892,11144.2,14036.4,3.56,official_dosm_estimates
