STATE,METRIC,STAR_5,STAR_4,STAR_3,STAR_2,STAR_1,STAR_TOTAL,APARTMENT_5,APARTMENT_4,APARTMENT_3,APARTMENT_TOTAL,ORCHID_3,ORCHID_2,ORCHID_1,ORCHID_TOTAL,NOT_QUALIFIED,POST_PONED,GRAND_TOTAL
PERLIS,Total Hotel,0,0,3,7,3,13,0,0,0,0,7,4,2,13,0,0,26
PERLIS,Total Room,0,0,349,243,95,687,0,0,0,0,207,75,35,317,0,0,1004
KEDAH,Total Hotel,10,14,10,14,8,56,0,0,0,0,3,5,9,17,5,42,120
KEDAH,Total Room,1879,2503,1888,1692,825,8787,0,0,0,0,325,300,320,945,243,2948,12923
P.PINANG,Total Hotel,13,22,21,16,6,78,0,0,0,0,9,14,11,34,14,15,141
P.PINANG,Total Room,3622,6660,3230,1113,415,15040,0,0,0,0,188,203,136,527,303,1176,17046
PERAK,Total Hotel,2,11,17,23,17,70,1,0,1,2,17,27,19,63,30,41,206
PERAK,Total Room,167,2922,2389,1425,622,7525,150,0,170,320,592,636,288,1516,1195,2209,12765
SELANGOR,Total Hotel,20,14,23,35,63,155,0,2,0,2,16,27,17,60,23,56,296
SELANGOR,Total Room,6620,3657,2571,2545,2039,17432,0,400,0,400,598,351,424,1373,285,3377,22867
N.SEMBILAN,Total Hotel,5,6,15,9,15,50,0,1,3,4,14,12,11,37,12,23,126
N.SEMBILAN,Total Room,1699,1637,1949,549,529,6363,0,65,646,711,490,286,136,912,203,1613,9802
MELAKA,Total Hotel,9,18,31,30,21,109,0,0,0,0,35,14,7,56,15,45,225
MELAKA,Total Room,2821,5522,3600,1500,725,14168,0,0,0,0,935,375,103,1413,224,1742,17547
JOHOR,Total Hotel,4,16,34,35,18,107,0,1,0,1,24,23,13,60,36,38,242
JOHOR,Total Room,1247,5388,5426,2269,938,15268,0,284,0,284,821,563,301,1685,818,3454,21509
PAHANG,Total Hotel,7,12,31,23,20,93,0,0,0,0,22,26,27,75,53,75,296
PAHANG,Total Room,2141,1205,11115,3260,1509,19230,0,0,0,0,729,562,501,1792,1316,4556,26894
KELANTAN,Total Hotel,0,5,8,17,7,37,0,0,0,0,18,15,18,51,14,10,112
KELANTAN,Total Room,0,731,776,752,368,2627,0,0,0,0,352,192,429,973,122,729,4451
TERENGGANU,Total Hotel,4,8,18,22,10,62,0,0,0,0,19,20,11,50,13,18,143
TERENGGANU,Total Room,852,1079,1896,1478,251,5556,0,0,0,0,400,408,125,933,132,1060,7681
JUMLAH_PENINSULAR,Total Hotel,74,126,211,231,188,830,1,4,4,9,184,187,145,516,215,363,1933
JUMLAH_PENINSULAR,Total Room,21048,31304,35189,16826,8316,112683,150,749,816,1715,5637,3951,2798,12386,4841,22864,154489
SABAH,Total Hotel,10,16,50,50,56,182,0,0,0,0,41,38,42,121,35,34,372
SABAH,Total Room,3962,1774,5107,4524,2110,17477,0,0,0,0,1190,738,766,2694,729,3420,24320
SARAWAK,Total Hotel,7,13,37,30,20,107,0,0,1,1,30,33,51,114,23,37,282
SARAWAK,Total Room,1728,2266,3688,1861,867,10410,0,0,215,215,990,777,810,2577,315,2392,15909
JUMLAH_SABAH_SARAWAK,Total Hotel,17,29,87,80,76,289,0,0,1,1,71,71,93,235,58,71,654
JUMLAH_SABAH_SARAWAK,Total Room,5690,4040,8795,6385,2977,27887,0,0,215,215,2180,1515,1576,5271,1044,5812,40229
K.LUMPUR,Total Hotel,31,26,24,27,22,130,2,11,2,15,10,11,11,32,21,116,314
K.LUMPUR,Total Room,14188,9162,4716,2510,1456,32032,733,2497,243,3473,564,402,552,1518,229,11961,49213
PUTRAJAYA,Total Hotel,2,3,0,0,0,5,0,0,0,0,1,0,0,1,0,0,6
PUTRAJAYA,Total Room,401,751,0,0,0,1152,0,0,0,0,59,0,0,59,0,0,1211
LABUAN,Total Hotel,1,2,3,5,8,19,0,0,0,0,3,2,2,7,0,0,26
LABUAN,Total Room,178,180,292,173,289,1112,0,0,0,0,47,48,30,125,0,0,1237
JUMLAH_WP,Total Hotel,34,31,27,32,30,154,2,11,2,15,14,13,13,40,21,116,346
JUMLAH_WP,Total Room,14767,10093,5008,2683,1745,34296,733,2497,243,3473,670,450,582,1702,229,11961,51661
GRAND_TOTAL,Total Hotel,125,186,325,343,294,1273,3,15,7,25,269,271,251,791,294,550,2933
GRAND_TOTAL,Total Room,41505,45437,48992,25894,13038,174866,883,3246,1274,5403,8487,5916,4956,19359,6114,40637,246379
