STATE,2016 (%),2017 (%),DIFFERENCE
KUALA LUMPUR,66.1,66.1,0.0
PUTRAJAYA,70.6,73.9,3.3
SELANGOR,62.4,60.3,-2.1
NEGERI SEMBILAN,52.8,55.7,2.9
MELAKA,59.9,60.0,0.1
JOHOR,61.0,62.5,1.5
PAHANG,74.6,75.7,1.1
TERENGGANU,45.0,45.2,0.2
KELANTAN,43.8,43.8,0.0
PERLIS,36.5,35.4,-1.1
KEDAH,59.5,60.3,0.8
PULAU PINANG,63.9,62.1,-1.8
PERAK,49.0,46.3,-2.7
SABAH,64.5,65.3,0.8
LABUAN,55.3,52.6,-2.7
SARAWAK,53.4,52.6,-0.8
MALAYSIA,60.9,60.6,-0.3
