STATE,METRIC,STAR_5,STAR_4,STAR_3,STAR_2,STAR_1,STAR_TOTAL,APARTMENT_5,APARTMENT_4,APARTMENT_3,APARTMENT_TOTAL,ORCHID_3,ORCHID_2,ORCHID_1,ORCHID_TOTAL,NOT_QUALIFIED,POST_PONED,GRAND_TOTAL
PERLIS,Total Hotel,0,0,2,6,3,11,0,0,0,0,4,6,2,12,0,4,27
PERLIS,Total Room,0,0,194,287,278,759,0,0,0,0,113,109,35,257,0,231,1247
KEDAH,Total Hotel,11,12,10,16,11,60,0,0,0,0,3,5,9,17,5,37,119
KEDAH,Total Room,2114,2153,1824,1908,924,8923,0,0,0,0,325,300,320,945,243,2650,12761
P.PINANG,Total Hotel,11,21,14,16,4,66,0,0,0,0,9,14,11,34,14,14,128
P.PINANG,Total Room,3454,5305,2302,1478,111,12650,0,0,0,0,188,203,136,527,303,860,14340
PERAK,Total Hotel,2,9,17,24,17,69,1,0,1,2,13,28,20,61,30,39,201
PERAK,Total Room,167,2615,2215,1513,622,7132,15,0,170,320,462,685,303,1450,1195,1924,12021
SELANGOR,Total Hotel,19,12,18,34,56,139,0,2,0,2,16,27,17,60,23,39,279
SELANGOR,Total Room,6287,3282,1892,2509,1834,15804,0,400,0,400,598,351,424,1450,285,3174,21036
N.SEMBILAN,Total Hotel,4,17,29,9,14,47,0,1,3,4,12,11,11,34,12,24,121
N.SEMBILAN,Total Room,1393,1637,1877,549,461,5917,0,65,646,711,387,276,136,799,203,1623,9523
MELAKA,Total Hotel,4,17,29,30,22,102,0,0,0,0,33,14,8,55,13,41,211
MELAKA,Total Room,1057,6036,3471,1514,737,12815,0,0,0,0,897,375,138,1410,210,1633,16068
JOHOR,Total Hotel,3,16,29,23,18,90,0,0,0,0,24,23,13,60,53,73,291
JOHOR,Total Room,964,5372,4749,2170,842,19533,0,0,0,0,821,563,301,1685,1316,3955,26632
PAHANG,Total Hotel,6,12,31,23,18,38,0,0,0,0,23,25,27,75,14,9,112
PAHANG,Total Room,2001,1637,11209,3260,1426,2899,0,0,0,0,775,552,501,1828,122,457,4451
KELANTAN,Total Hotel,2,4,8,17,7,38,0,0,0,0,19,20,11,51,13,18,139
KELANTAN,Total Room,570,433,776,752,368,5322,0,0,0,0,400,408,125,973,132,1060,7447
TERENGGANU,Total Hotel,4,6,16,22,10,58,0,0,0,0,19,20,11,50,13,18,139
TERENGGANU,Total Room,852,915,1808,1496,251,5322,0,0,0,0,400,408,125,933,132,1060,7447
PENINSULAR MALAYSIA,Total Hotel,66,115,188,232,178,779,1,4,4,9,174,188,147,509,213,349,1859
PENINSULAR MALAYSIA,Total Room,18859,29385,32317,17436,7854,105851,150,749,816,1715,5318,4014,2848,12180,4827,20621,145194
SABAH,Total Hotel,9,16,46,46,56,173,0,1,0,1,41,38,42,121,35,35,365
SABAH,Total Room,3652,1774,4589,4361,2110,16486,0,196,0,196,1190,738,766,2694,729,3466,23571
SARAWAK,Total Hotel,7,12,37,26,22,104,0,0,1,1,30,35,49,114,23,34,276
SARAWAK,Total Room,1728,2130,3568,1622,927,9975,0,0,215,215,990,821,766,2577,315,2205,15287
SABAH/SARAWAK,Total Hotel,16,28,83,72,78,277,0,1,1,2,71,73,91,235,58,69,641
SABAH/SARAWAK,Total Room,5380,3904,8157,5983,3037,26461,0,196,215,411,2180,1559,1532,5271,1044,5671,38858
K.LUMPUR,Total Hotel,27,21,23,25,22,118,2,10,2,14,12,11,11,34,21,104,291
K.LUMPUR,Total Room,13524,7346,4847,2360,1473,29550,733,2246,243,3222,638,402,552,1592,229,11020,45613
PUTRAJAYA,Total Hotel,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,1,6
PUTRAJAYA,Total Room,401,751,0,0,0,1152,0,0,0,0,0,0,0,0,0,70,1222
LABUAN,Total Hotel,1,2,3,5,6,17,0,0,0,0,4,2,2,8,0,0,25
LABUAN,Total Room,178,180,292,173,202,1025,0,0,0,0,96,48,30,174,0,0,1199
WILAYAH PERSEKUTUAN,Total Hotel,30,26,26,30,28,140,2,10,2,14,16,13,13,42,21,105,322
WILAYAH PERSEKUTUAN,Total Room,14103,8277,5139,2533,1675,31727,733,2246,243,3222,734,450,582,1766,229,11090,48034
GRAND TOTAL,Total Hotel,112,169,297,334,284,1196,3,15,7,25,261,274,251,786,292,523,2822
GRAND TOTAL,Total Room,38342,41566,45613,25952,12566,164039,883,3191,1274,5348,8232,6023,4962,19217,6100,37382,232086
